,hotel,url,index,score,latitude,longitude,description,city,latitude_city,longitude_city,temp,rain
10,Port Royal Hotel,https://www.booking.com/hotel/fr/port-royal-paris1.fr.html,8.0,7.4,48.837169,2.350575,"Situé à Paris, à 2,5 km de Paris-Gare-de-Lyon et de la Sainte-Chapelle, le Port Royal Hotel propose une connexion Wi-Fi gratuite dans l’ensemble de ses locaux. Il vous accueille à 2,7 km de la cathédrale Notre-Dame, à 3,4 km de l’opéra Bastille et à 3,7 km du centre Pompidou. L’établissement se trouve à 1,7 km du jardin du Luxembourg et à moins de 2,8 km du centre-ville.

Les chambres sont dotées d’un bureau. Le linge de lit et les serviettes de toilette sont fournis dans toutes les chambres du Port Royal Hotel.

Le personnel de la réception ouverte 24h/24 parle français et anglais. Il se fera un plaisir de vous aider à tout moment.

Le musée Rodin est accessible à 3,8 km. Vous rejoindrez le musée d’Orsay à 3,9 km. L’aéroport de Paris-Orly, le plus proche, est implanté à 13 km du Port Royal Hotel.",Paris,48.8588897,2.3200410217200766,14.8,10.3
11,Hotel De La Poste,https://www.booking.com/hotel/fr/de-la-poste-paris.fr.html,10.0,6.1,48.89011611,2.361008,"L'Hotel De La Poste est situé dans le 18ème arrondissement de Paris, à 1 km du quartier animé de Montmartre et à 1,2 km de la gare du Nord. Il propose une réception ouverte 24h/24.

Les chambres sont dotées d'une décoration colorée et d'un bureau. Certaines comprennent une télévision à écran plat. Quelques-unes sont pourvues d'une salle de bains privative avec une douche et plusieurs donnent accès à une salle de bains commune.

L'hôtel se trouve à 1,3 km de la basilique du Sacré-Cœur et à 1,6 km de la gare de l'Est. La station de métro Marx Dormoy, installée à 100 mètres, offre un accès direct au quartier de Pigalle. La salle de réception Les Docks de Paris est à 2,3 km.",Paris,48.8588897,2.3200410217200766,14.8,10.3
12,ibis Styles Paris Bercy,https://www.booking.com/hotel/fr/mercure-paris-bercy.fr.html,14.0,7.5,48.83841913,2.3810935,"Situé en face de l'Accor Arena, à 200 mètres de la station de métro Bercy et à 500 mètres de la gare de Lyon, l'ibis Styles Paris Bercy propose une connexion Wi-Fi gratuite.

Les chambres insonorisées de l'ibis Styles Paris Bercy disposent de la climatisation, d'une télévision par satellite à écran plat et d'une salle de bains privative.

Chaque matin, vous pourrez déguster un petit-déjeuner buffet continental sur place.

Vous pourrez prendre un verre au bar.

L'ibis Styles Paris Bercy se trouve dans le parc de Bercy, à seulement 5 minutes à pied de la Seine et du centre commercial Bercy Village. La place de la Bastille est accessible en 25 minutes de marche.",Paris,48.8588897,2.3200410217200766,14.8,10.3
13,Hôtel France Eiffel,https://www.booking.com/hotel/fr/france-eiffel.fr.html,13.0,6.7,48.85154449,2.28971601,"Situé à 10 minutes à pied de la Tour Eiffel et à 350 mètres de la station de métro Dupleix, le France Eiffel propose un jardin privé et des chambres avec salle de bains privative et connexion Wi-Fi disponible dans les parties communes (salon, salle de petit-déjeuner et réception).

Toutes les chambres du France Eiffel sont décorées de façon individuelle et disposent d'une télévision par satellite à écran LCD, d'une terrasse privé et d'un plateau/bouilloire.

Le petit-déjeuner est servi sur la terrasse en été et peut également être dégusté dans les chambres d'hôtes. Le salon de l'hôtel est décoré avec des meubles asiatiques. Des journaux quotidiens sont fournis à la réception ouverte 24h/24.

La station de RER Champs de Mars est à 450 mètres et mène directement au Château de Versailles. Les stations de métro locales donnent un accès direct à l'Arc de Triomphe, à l'Université de la Sorbonne et à l'Odéon.",Paris,48.8588897,2.3200410217200766,14.8,10.3
14,Hotel De La Cite Rougemont,https://www.booking.com/hotel/fr/de-la-cite-rougemont.fr.html,15.0,8.1,48.87209209,2.3452886,"Situé dans le 9ème arrondissement populaire de Paris, l'Hotel De La Cite Rougemont vous accueille à 3 minutes à pied du théâtre des Folies Bergère et du musée Grevin (personnalités réalisées en cire). Une connexion Wi-Fi gratuite est accessible dans toutes les locaux.

Dotées d'une télévision par satellite à écran plat, les chambres sont équipées d'une salle de bains privative avec un sèche-cheveux et des articles de toilette gratuits.

La réception est ouverte 24h/24. Un espace de stationnement public se trouve à proximité.

La station de métro Grands Boulevards, la plus proche, donne un accès direct aux Champs-Elysées et à l'Opéra Garnier, tandis que le musée du Louvre se trouve à 1,5 km de l'hôtel. Enfin, l'aéroport d'Orly, le plus proche, est implanté à 16 km de l'hébergement.",Paris,48.8588897,2.3200410217200766,14.8,10.3
15,Westside Arc de Triomphe Hotel,https://www.booking.com/hotel/fr/westside-arc-de-triomphe.fr.html,11.0,8.3,48.88129894,2.29480304,"Doté d’un bar-salon, le Westside Arc de Triomphe Hotel propose des hébergements dans une petite rue de l’élégant 17ème arrondissement de Paris, à 12 minutes de marche de l’Arc de Triomphe et de la célèbre avenue des Champs-Élysées. Une connexion Wi-Fi est disponible gratuitement.

Toutes les chambres sont climatisées et disposent d’une télévision par satellite à écran LED disponible gratuitement. Certaines offrent une vue sur le 17ème arrondissement ou les toits de Paris. Un plateau de courtoisie est fourni.

Le petit-déjeuner peut être servi en chambre ou sous forme de buffet. Vous pourrez également prendre un verre au bar ou passer commande via le service d'étage tout au long de la journée.

Un service de concierge et un bureau d’excursions sont à votre disposition pour organiser vos visites et excursions. La station de métro Pereire, située à 500 mètres, vous permettra de rejoindre directement le musée du Louvre. Le Westside Arc de Triomphe Hotel est à 1 km du palais des congrès de Paris. Vous trouverez un parking public à proximité.",Paris,48.8588897,2.3200410217200766,14.8,10.3
16,Hôtel Magellan,https://www.booking.com/hotel/fr/ha-tel-magellan.fr.html,16.0,8.7,48.88342348,2.29252651,"Situé à 15 minutes à pied de l'Arc de triomphe et du parc Monceau, l'Hôtel Magellan possède un bar-salon ainsi qu'un jardin. La réception est ouverte 24h/24 et vous disposerez d'une connexion Wi-Fi gratuite dans tout l'établissement.

Les chambres sont dotées d'une télévision par satellite à écran plat ainsi que d'un plateau/bouilloire. Leur salle de bains privative comprend des articles de toilette gratuits et un sèche-cheveux.

Chaque matin, un petit-déjeuner buffet est servi. Dans la soirée, vous pourrez vous détendre dans le bar-salon ou sur la terrasse lorsque le temps le permet.

Par ailleurs, l'hôtel est situé à 350 mètres de la station de métro Porte de Champerret, qui assure un accès direct à l'opéra Garnier et au quartier du Marais. Le quartier d'affaires de la Défense se trouve à 10 minutes de route tandis que le Palais des Congrès est accessible en 13 minutes à pied.",Paris,48.8588897,2.3200410217200766,14.8,10.3
17,Motel One Paris-Porte Dorée,https://www.booking.com/hotel/fr/motel-one-paris-porte-doree.fr.html,17.0,8.7,48.834942,2.410246,"Situé à Paris, dans le 12ème arrondissement, le Motel One Paris-Porte Dorée dispose d'un bar et d'un jardin. Vous serez à 6 minutes à pied de la station de métro Porte Dorée, à 4 km de l'opéra Bastille et à 6 km de la cathédrale Notre-Dame.

Les chambres climatisées comportent un bureau et une télévision à écran plat. La salle de bains privative est pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits. Tous les logements sont desservis par un ascenseur, et une connexion Wi-Fi est disponible gratuitement.

Le matin, vous pourrez déguster un petit-déjuner buffet composé de produits bio et issus du commerce équitable.

L’établissement possède une réception ouverte 24h/24 et une bagagerie.

Le Motel One Paris-Porte Dorée se trouve à 6 km du musée du Louvre et du Centre Pompidou, ainsi qu'à 5,4 km de la place de la République. Enfin, vous rejoindrez l'aéroport de Paris-Orly à 12 km.",Paris,48.8588897,2.3200410217200766,14.8,10.3
18,Tiny Suite 12 D Paris’s heart!,https://www.booking.com/hotel/fr/tiny-suite-12-d-pariss-heart.fr.html,18.0,7.5,48.8808901,2.3626402,"Situé dans le centre de Paris, à seulement 10 minutes de marche de la gare du Nord, l'ibis Paris Gare du Nord Château Landon 10ème comporte un bar et une réception ouverte 24h/24. Vous profiterez d’une connexion Wi-Fi gratuite dans tous les locaux et d’un parking souterrain privé.

Agrémentées de parquet, les chambres possèdent la climatisation, une télévision par satellite à écran plat, une armoire et un bureau. Leur salle de bains privative est pourvue d'un sèche-cheveux.

Tous les matins, l'établissement vous préparera un petit-déjeuner buffet composé de plats sucrés et salés, tels que des œufs, de la salade de fruits, des yaourts et des jus de fruits. Des viennoiseries cuites sur place et des madeleines françaises fraîches sont aussi proposées, ainsi qu'une boisson chaude et un fruit à emporter. En dehors des heures régulières, un petit-déjeuner plus léger est servi à partir de 4h00.

Une bagagerie en libre-service est disponible, moyennant des frais supplémentaires. Vous séjournerez à 10 minutes à pied de la gare du Nord, permettant de rejoindre directement l’aéroport de Paris-Charles-de-Gaulle et le centre de Paris. Le quartier de Montmartre n'est qu'à 20 minutes de marche.",Paris,48.8588897,2.3200410217200766,14.8,10.3
19,ibis Paris Gare du Nord Château Landon 10ème,https://www.booking.com/hotel/fr/ibis-gare-du-nord-chateau-landon.fr.html,,,,,,Paris,48.8588897,2.3200410217200766,14.8,10.3
